Date,Store,Product,Price,Cost,Units_Sold,Promo,Holiday
2024-01-01,Store_A,Cola,11.34,7.0,768,0,1
2024-01-01,Store_B,Cola,11.41,7.0,869,0,1
2024-01-01,Store_C,Cola,12.12,7.0,755,0,1
2024-01-01,Store_A,Chips,19.99,11.0,469,0,1
2024-01-01,Store_B,Chips,19.24,11.0,438,0,1
2024-01-01,Store_C,Chips,19.49,11.0,474,0,1
2024-01-01,Store_A,Water,7.17,4.0,1302,1,1
2024-01-01,Store_B,Water,8.02,4.0,882,0,1
2024-01-01,Store_C,Water,7.84,4.0,954,0,1
2024-01-02,Store_A,Cola,11.99,7.0,527,0,0
2024-01-02,Store_B,Cola,10.78,7.0,789,1,0
2024-01-02,Store_C,Cola,11.42,7.0,579,0,0
2024-01-02,Store_A,Chips,18.31,11.0,461,1,0
2024-01-02,Store_B,Chips,20.3,11.0,272,0,0
2024-01-02,Store_C,Chips,19.92,11.0,314,0,0
2024-01-02,Store_A,Water,8.64,4.0,559,0,0
2024-01-02,Store_B,Water,8.02,4.0,601,0,0
2024-01-02,Store_C,Water,8.14,4.0,677,0,0
2024-01-03,Store_A,Cola,12.16,7.0,432,0,0
2024-01-03,Store_B,Cola,12.3,7.0,502,0,0
2024-01-03,Store_C,Cola,11.94,7.0,549,0,0
2024-01-03,Store_A,Chips,20.14,11.0,294,0,0
2024-01-03,Store_B,Chips,20.0,11.0,292,0,0
2024-01-03,Store_C,Chips,19.99,11.0,312,0,0
2024-01-03,Store_A,Water,8.0,4.0,672,0,0
2024-01-03,Store_B,Water,7.73,4.0,598,0,0
2024-01-03,Store_C,Water,8.03,4.0,733,0,0
2024-01-04,Store_A,Cola,12.05,7.0,511,0,0
2024-01-04,Store_B,Cola,12.17,7.0,505,0,0
2024-01-04,Store_C,Cola,12.01,7.0,467,0,0
2024-01-04,Store_A,Chips,17.69,11.0,508,1,0
2024-01-04,Store_B,Chips,18.03,11.0,451,1,0
2024-01-04,Store_C,Chips,19.55,11.0,316,0,0
2024-01-04,Store_A,Water,7.72,4.0,714,0,0
2024-01-04,Store_B,Water,8.02,4.0,588,0,0
2024-01-04,Store_C,Water,8.39,4.0,598,0,0
2024-01-05,Store_A,Cola,12.26,7.0,469,0,0
2024-01-05,Store_B,Cola,11.85,7.0,469,0,0
2024-01-05,Store_C,Cola,12.23,7.0,487,0,0
2024-01-05,Store_A,Chips,19.78,11.0,304,0,0
2024-01-05,Store_B,Chips,19.45,11.0,296,0,0
2024-01-05,Store_C,Chips,20.56,11.0,294,0,0
2024-01-05,Store_A,Water,7.97,4.0,628,0,0
2024-01-05,Store_B,Water,8.0,4.0,652,0,0
2024-01-05,Store_C,Water,7.91,4.0,654,0,0
2024-01-06,Store_A,Cola,12.32,7.0,523,0,0
2024-01-06,Store_B,Cola,11.3,7.0,590,0,0
2024-01-06,Store_C,Cola,10.73,7.0,876,1,0
2024-01-06,Store_A,Chips,20.27,11.0,337,0,0
2024-01-06,Store_B,Chips,17.5,11.0,577,1,0
2024-01-06,Store_C,Chips,20.22,11.0,346,0,0
2024-01-06,Store_A,Water,7.53,4.0,864,0,0
2024-01-06,Store_B,Water,8.08,4.0,755,0,0
2024-01-06,Store_C,Water,7.43,4.0,725,0,0
2024-01-07,Store_A,Cola,12.0,7.0,588,0,0
2024-01-07,Store_B,Cola,11.46,7.0,598,0,0
2024-01-07,Store_C,Cola,11.2,7.0,560,0,0
